elapsed_s,fc_vx,fc_vy,odom_vx,odom_vy,filt_vx,filt_vy,tf_px,tf_py,dir_flag
19.48,-0.0100,-0.0100,0.0000,0.0000,-0.0000,0.0001,0.1742,-0.0131,0
19.68,-0.0100,-0.0300,0.0000,-0.0200,-0.0000,-0.0196,0.1742,-0.0140,0
19.88,-0.0100,-0.1100,0.0000,-0.1000,-0.0026,-0.0810,0.1733,-0.0234,0
20.08,-0.0100,-0.2300,0.0000,-0.2300,-0.0000,-0.2011,0.1731,-0.0538,0
20.28,-0.0100,-0.3500,0.0000,-0.3500,0.0008,-0.3210,0.1730,-0.1062,0
20.48,-0.0100,-0.4100,0.0000,-0.4100,-0.0013,-0.4060,0.1729,-0.1722,0
20.68,-0.0000,-0.3500,0.0000,-0.3500,-0.0014,-0.3731,0.1725,-0.2614,0
20.88,0.0100,-0.2100,0.0000,-0.2100,-0.0000,-0.2597,0.1725,-0.3244,0
21.09,0.0100,-0.1000,0.0000,-0.1000,0.0011,-0.1287,0.1723,-0.3604,0
21.30,-0.0000,-0.0300,0.0000,-0.0300,0.0000,-0.0327,0.1724,-0.3762,0
21.50,-0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0003,0.1724,-0.3777,0
21.70,-0.0000,0.0200,0.0000,0.0200,-0.0000,0.0198,0.1724,-0.3771,0
21.90,-0.0000,0.0300,0.0000,0.0300,-0.0000,0.0300,0.1724,-0.3722,0
22.10,-0.0000,0.0200,0.0000,0.0300,-0.0000,0.0300,0.1724,-0.3664,0
22.30,-0.0000,0.0200,0.0000,0.0200,-0.0000,0.0200,0.1724,-0.3616,0
22.50,-0.0000,0.0200,0.0000,0.0200,-0.0000,0.0200,0.1724,-0.3579,0
22.70,-0.0000,0.0200,0.0000,0.0200,-0.0000,0.0200,0.1724,-0.3533,0
22.92,-0.0000,0.0100,0.0000,0.0000,0.0000,0.0200,0.1724,-0.3495,0
23.12,-0.0000,0.0400,0.0000,0.0300,-0.0000,0.0296,0.1724,-0.3458,0
23.32,-0.0000,0.0800,0.0000,0.0800,-0.0013,0.0721,0.1723,-0.3352,0
23.52,0.0100,0.2100,0.0000,0.1900,-0.0000,0.1601,0.1721,-0.3163,0
23.72,0.0100,0.3400,0.0000,0.3400,-0.0005,0.3058,0.1719,-0.2732,0
23.92,-0.0000,0.3900,0.0000,0.3900,-0.0002,0.3769,0.1719,-0.1964,0
24.13,-0.0000,0.3700,0.0000,0.3700,0.0001,0.3801,0.1720,-0.1139,0
24.33,-0.0100,0.2800,0.0000,0.2800,0.0000,0.3063,0.1720,-0.0471,0
24.54,-0.0200,0.2000,-0.0200,0.2000,0.0000,0.2165,0.1720,0.0069,0
24.74,-0.0100,0.0700,0.0000,0.0700,-0.0008,0.0757,0.1717,0.0394,0
24.94,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0004,0.1717,0.0456,0
25.14,-0.0000,-0.0100,0.0000,0.0000,-0.0000,-0.0002,0.1717,0.0431,0
25.34,-0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,0.1717,0.0431,0
25.54,-0.0100,-0.0000,0.0000,0.0000,-0.0000,-0.0000,0.1717,0.0431,0
25.74,-0.0100,-0.0000,0.0000,0.0000,-0.0000,-0.0000,0.1717,0.0431,0
25.94,-0.0100,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.1717,0.0431,0
26.14,-0.0100,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.1717,0.0431,0
26.34,-0.0100,-0.0100,0.0000,0.0000,-0.0000,0.0000,0.1717,0.0431,0
26.55,-0.0100,-0.0100,0.0000,0.0000,-0.0000,0.0000,0.1717,0.0431,0
26.75,-0.0000,-0.0100,0.0000,0.0000,-0.0000,0.0000,0.1717,0.0431,0
26.96,-0.0000,-0.0200,0.0000,-0.0200,-0.0000,-0.0200,0.1717,0.0408,0
27.16,-0.0000,-0.0200,0.0000,-0.0200,-0.0000,-0.0198,0.1717,0.0364,0
27.36,0.0200,-0.0100,0.0000,0.0000,-0.0001,-0.0002,0.1717,0.0325,0
27.57,0.0500,-0.0100,0.0500,0.0000,0.0388,-0.0000,0.1771,0.0325,0
27.77,0.1000,-0.0100,0.1000,0.0000,0.0843,0.0000,0.1893,0.0325,0
27.98,0.1700,-0.0300,0.1700,-0.0300,0.1588,0.0028,0.2128,0.0330,0
28.18,0.2300,-0.0400,0.2300,-0.0400,0.2222,0.0001,0.2568,0.0335,1
28.38,0.2500,-0.0100,0.2500,0.0000,0.2405,-0.0002,0.3021,0.0333,0
28.58,0.2900,-0.0100,0.2800,0.0000,0.2714,0.0019,0.3507,0.0334,0
28.78,0.3100,-0.0200,0.3100,-0.0200,0.3096,0.0003,0.4129,0.0335,0
28.98,0.3200,-0.0200,0.3200,0.0000,0.3212,0.0033,0.4723,0.0335,0
29.18,0.2500,-0.0400,0.2500,-0.0400,0.2774,0.0013,0.5359,0.0339,1
29.39,0.1700,-0.0500,0.1700,-0.0500,0.1926,-0.0455,0.5808,0.0330,0
29.59,0.1000,-0.0200,0.1000,-0.0200,0.1093,-0.0034,0.6130,0.0295,0
29.79,0.0500,0.0300,0.0500,0.0300,0.0513,0.0282,0.6280,0.0305,0
29.99,0.0400,0.0200,0.0400,0.0200,0.0400,0.0308,0.6362,0.0371,0
30.20,0.0400,0.0100,0.0400,0.0000,0.0400,0.0002,0.6441,0.0400,0
30.40,0.0400,-0.0000,0.0400,0.0000,0.0500,0.0000,0.6535,0.0400,0
30.60,0.0300,-0.0000,0.0300,0.0000,0.0300,0.0001,0.6617,0.0400,0
30.80,0.0200,-0.0000,0.0200,0.0000,0.0300,0.0000,0.6671,0.0400,0
31.00,0.0100,-0.0000,0.0000,0.0000,0.0002,0.0000,0.6710,0.0401,0
31.20,0.0100,-0.0000,0.0000,0.0000,0.0000,0.0000,0.6710,0.0401,0
31.40,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.6710,0.0401,0
31.60,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.6710,0.0401,0
